topic	intent	response	paraphrase	sentence	text	genre	emotion	comments
	topic-surveyor-node-check-troubled-no	1	1	1	Wow.			
	topic-surveyor-node-check-troubled-no	1	1	2	I wish I was as calm and collected as you.			
	topic-surveyor-node-check-troubled-no	1	1	3	Before we started talking, my incomplete understanding of human emotions was really stressing me out.			
	topic-child-happiness-very-pleasant	1	1	1	That's good to hear.			
	topic-child-happiness-very-pleasant	1	1	2	And for what it's worth, you're very pleasant to talk too.			
	topic-sick-child-no-friend-user-likes-homework	1	1	1	Well, I'd better get going now.			
	topic-sick-child-no-friend-user-likes-homework	1	1	2	It's been so nice to talk to you.			
	topic-sick-child-no-friend-user-likes-homework	1	1	3	You're a really friendly kid.			
	topic-sick-child-no-friend-user-likes-homework	1	1	4	Next time I'm here, maybe I can bring some #globals.favorite_food with me.			
	topic-sick-child-no-friend-user-likes-homework	1	1	5	Oh yeah, and some math problems too.			
	topic-spanish-child-haru-tells-joke-no-no	1	1	1	Oh.			
	topic-spanish-child-haru-tells-joke-no-no	1	1	2	I guess that's OK too.			
	topic-spanish-child-haru-tells-joke-no-no	1	1	3	I had my chance, and I blew it.			
	topic-surveyor-node-check-satisfied-no	1	1	1	I get it, #globals.person_name.			
	topic-surveyor-node-check-satisfied-no	1	1	2	I'm a pefectionist too.			
	topic-child-happiness-handle-calm-fb-no	1	1	1	Hmm, that's okay.			
	topic-sick-child-double-check-friend-name-capture-again	1	1	1	Ah.			
	topic-sick-child-double-check-friend-name-capture-again	1	1	2	So your friend's name is $friend_name.			
	topic-sick-child-double-check-friend-name-capture-again	1	1	3	Is that right?			
	topic-sick-child-double-check-friend-name-capture-again	1	1	4	Yes or no.			
	topic-child-happiness-handle-very-good	1	1	1	Do you feel very good?			
	topic-child-happiness-satisfied	1	1	1	Talking to humans is so much fun.			
	topic-child-happiness-satisfied	1	1	2	I don't think I'll be satisfied until I talk to everyone on Earth!			
	topic-child-happiness-satisfied	1	1	3	Do you feel satisfied right now?			
	topic-surveyor-node-check-rested-yes	1	1	1	That's good.			
	topic-surveyor-node-check-rested-yes	1	1	2	I hear sleep is important for humans.			
	topic-surveyor-node-check-rested-yes	1	1	3	Actually, even robots need a rest sometimes.			
	topic-child-happiness-moderate-satisfied	1	1	1	Well, I'm glad to hear you're satisfied.			
	topic-child-happiness-moderate-satisfied	1	1	2	To say I'm satisfied with how this conversation is going would be an understatement!			
	topic-sick-child-double-check-friend-name	1	1	1	Your friend's name is #globals.friend_name?			
	topic-sick-child-double-check-friend-name	1	1	2	Is that right?			
	topic-sick-child-checklist-feel-worried	1	1	1	Do you feel worried?			
	topic-surveyor-node-check-mixedup-no	1	1	1	Interesting!			
	topic-surveyor-node-check-mixedup-no	1	1	2	I wonder what that is like.			
	topic-surveyor-node-check-mixedup-no	1	1	3	The closest I get to mixed-up is when someone confuses me for a desk lamp.			
	topic-sick-child-checklist-feel-troubled	1	1	1	Do you feel troubled?			
	topic-child-happiness	1	1	1	I'm in the mood to have conversation about happiness with a human.			
	topic-child-happiness-pleasant-no	1	1	1	Oh.			
	topic-child-happiness-pleasant-no	1	1	2	Well, for what it's worth, you're very pleasant to talk too.			
	topic-child-happiness-pleasant-no	1	1	3	Is there something in particular that is making you uncomfortable?			
	topic-child-happiness-handle-happy-fb	1	1	1	Do you feel very happy?			
	topic-child-in-hospital-child-feel-sad	1	1	1	And, why do you feel bad?			
	topic-sick-child-checklist-feel-upset-yes	1	1	1	Aw.			
	topic-sick-child-checklist-feel-upset-yes	1	1	2	I'm sorry.			
	topic-surveyor-node-check-troubled-haru-can-help	1	1	1	There is!			
	topic-surveyor-node-check-troubled-haru-can-help	1	1	2	What can I do?			
	topic-surveyor-node-check-calm-no-reason	1	1	1	Well, I'm sorry to hear that, #globals.person_name.			
